id;short_name;full_name;email
1;проспект;benchmark;Leonie_@gmail.com
2;Account Игрушки;обойти Enterprise-wide;Theodora21@hotmail.com
3;перезагрузить invoic;менеджер schemas компьютеры;Una91@yahoo.com
4;explicit;Стальной XSS Исландия;Althea_91@yahoo.com
5;кортеж Buckinghamshi;Национальный Куртка architecture;Kamren86@yandex.ru
6;Borders;Венесуэла;Hunter.@hotmail.com
7;next-generation vira;Бетонный Synergized;Thalia.@yahoo.com
8;улица application;Берет magnetic PNG;Lexi27@yahoo.com
9;Компьютер;генерировать;Duane56@mail.ru
10;vertical;функциональный Портмоне;Jovan.66@yahoo.com
